label x;label y
926;99
927;99
928;99
929;99
930;99
930;99
931;99
932;99
933;99
934;99
935;99
936;99
937;99
938;98
939;98
940;98
941;98
942;98
943;98
944;98
945;97
946;97
947;97
948;97
949;97
950;96
951;96
952;96
953;96
954;95
955;95
956;95
957;94
957;94
958;94
959;93
960;93
961;92
962;92
963;91
964;91
965;90
966;89
967;89
968;88
969;87
970;86
971;85
972;84
973;83
974;82
975;81
976;80
977;78
978;77
979;75
980;74
981;72
982;70
983;68
984;66
984;64
985;61
986;59
987;57
988;54
989;51
990;49
991;46
992;44
993;41
994;38
995;36
996;33
997;31
998;28
999;26
1000;24
1001;22
1002;20
1003;19
1004;17
1005;16
1006;15
1007;14
1008;14
1009;13
1010;13
1011;13
1011;13
1012;14
1013;14
1014;15
1015;15
1016;16
1017;17
1018;18
1019;19
1020;19
1021;20
1022;21
1023;22
1024;22
1025;23
1026;23
1027;24
1028;24
1029;25
1030;25
1031;26
1032;26
1033;26
1034;27
1035;27
1036;27
1037;27
1038;27
1038;28
1039;28
1040;28
1041;28
1042;28
1043;28
1044;28
1045;28
1046;28
1047;28
1048;27
1049;27
1050;27
1051;27
1052;27
1053;27
1054;27
1055;27
1056;27
1057;27
1058;27
1059;27
1060;27
1061;27
1062;27
1063;27
1064;27
1065;28
1065;28
1066;28
1067;28
1068;28
1069;29
1070;29
1071;29
1072;29
1073;30
1074;30
1075;30
1076;31
1077;31
1078;31
1079;32
1080;32
1081;33
1082;34
1083;34
1084;35
1085;36
1086;36
1087;37
1088;38
1089;39
1090;40
1091;41
1092;42
1092;43
1093;44
1094;45
1095;46
1096;48
1097;49
1098;50
1099;51
1100;52
1101;54
1102;55
1103;56
1104;58
1105;59
1106;60
1107;61
1108;63
1109;64
1110;65
1111;66
1112;67
1113;68
1114;69
1115;70
1116;71
1117;72
1118;73
1119;74
1119;75
1120;76
1121;76
1122;77
1123;78
1124;78
1125;79
1126;80
1127;80
1128;81
1129;81
1130;82
1131;82
1132;82
1133;83
1134;83
1135;83
1136;84
1137;84
1138;84
1139;85
1140;85
1141;85
1142;85
1143;86
1144;86
1145;86
1146;86
1146;87
1147;87
1148;87
1149;87
1150;87
1151;87
1152;87
1153;88
1154;88
1155;88
1156;88
1157;88
1158;88
1159;88
1160;88
1161;88
1162;88
1163;88
1164;88
1165;88
1166;88
1167;88
1168;89
1169;89
1170;89
1171;89
1172;89
1173;89
1173;89
1174;89
1175;89
1176;89
1177;89
1178;89
1179;89
1180;89
1181;89
1182;89
1183;89
1184;89
1185;89
1186;89
1187;89
1188;90
1189;90
1190;90
1191;90
1192;90
1193;90
1194;90
1195;90
1196;91
1197;91
1198;91
1199;91
1200;91
1200;92
1201;92
1202;92
1203;92
1204;93
1205;93
1206;93
1207;93
1208;93
1209;94
1210;94
1211;94
1212;94
1213;95
1214;95
1215;95
1216;95
1217;96
1218;96
1219;96
1220;96
1221;96
1222;96
1223;96
1224;96
1225;96
1226;97
1227;97
1227;97
1228;97
1229;97
1230;97
1231;96
1232;96
1233;96
1234;95
1235;95
1236;95
1237;94
1238;93
1239;93
1240;92
1241;91
1242;89
1243;88
1244;86
1245;84
1246;81
1247;78
1248;75
1249;71
1250;67
1251;64
1252;60
1253;57
1254;54
1254;51
1255;49
1256;48
1257;48
1258;48
1259;50
1260;51
1261;54
1262;57
1263;60
1264;64
1265;68
1266;72
1267;75
1268;79
1269;82
1270;84
1271;87
1272;89
1273;90
1274;91
1275;92
1276;93
1277;94
1278;94
1279;95
1280;95
1281;95
1281;96
1282;96
1283;96
1284;96
1285;97
1286;97
1287;97
1288;97
1289;97
1290;97
1291;97
1292;97
1293;97
1294;97
1295;97
1296;97
1297;98
1298;98
1299;98
1300;98
1301;98
1302;98
1303;98
1304;98
1305;98
1306;98
1307;98
1308;98
1308;98
1309;98
1310;98
1311;98
1312;98
1313;98
1314;98
1315;98
1316;98
1317;98
1318;98
1319;98
1320;98
1321;98
1322;98
1323;98
1324;98
1325;98
1326;98
1327;98
1328;98
1329;98
1330;98
1331;98
1332;98
1333;98
1334;98
1334;98
1335;98
1336;98
1337;98
1338;98
1339;99
1340;99
1341;99
1342;99
1343;99
1344;99
1345;99
1346;99
1347;99
1348;99
1349;99
1350;99
1351;99
1352;99
1353;99
1354;99
1355;99
1356;99
1357;99
1358;99
1359;99
1360;99
1361;99
1361;99
1362;99
1363;99
1364;99
1365;99
1366;99
1367;99
1368;99
1369;99
1370;99
1371;99
1372;99
1373;99
1374;99
1375;99
1376;99
1377;99
1378;99
1379;99
1380;99
1381;98
1382;98
1383;98
1384;98
1385;98
1386;98
1387;97
1388;97
1388;97
1389;97
1390;97
1391;97
1392;96
1393;96
1394;96
1395;96
1396;96
1397;95
1398;95
1399;95
1400;95
1401;95
1402;95
1403;95
1404;94
1405;94
1406;94
1407;94
1408;94
1409;94
1410;94
1411;94
1412;94
1413;94
1414;94
1415;94
1415;94
1416;94
1417;95
1418;95
1419;95
1420;95
1421;96
1422;96
1423;96
1424;96
1425;96
1426;96
1427;97
1428;97
1429;97
1430;97
1431;97
1432;97
1433;97
1434;97
1435;97
1436;97
1437;97
1438;97
1439;97
1440;97
1441;97
1442;97
1442;97
1443;97
1444;97
1445;97
1446;97
1447;97
1448;97
1449;97
1450;97
1451;97
1452;97
1453;97
1454;97
1455;97
1456;97
1457;97
1458;97
1459;97
1460;98
1461;98
1462;98
1463;98
1464;98
1465;98
1466;98
1467;98
1468;98
1469;98
1469;98
1470;98
1471;98
1472;98
1473;98
1474;98
1475;98
1476;98
1477;98
1478;98
1479;98
1480;98
1481;98
1482;98
1483;98
1484;98
1485;98
1486;98
1487;98
1488;98
1489;98
1490;98
1491;98
1492;98
1493;98
1494;98
1495;98
1496;98
1496;98
1497;98
1498;98
1499;98
1500;98
1501;98
1502;98
1503;98
1504;98
1505;98
1506;98
1507;98
1508;98
1509;98
1510;98
1511;98
1512;98
1513;98
1514;98
1515;98
1516;98
1517;98
1518;98
1519;98
1520;98
1521;98
1522;98
1523;98
1523;98
1524;98
1525;98
1526;98
1527;98
1528;98
1529;98
1530;98
1531;98
1532;98
1533;98
1534;98
1535;98
1536;98
1537;98
1538;98
1539;98
1540;98
1541;98
1542;98
1543;98
1544;98
1545;98
1546;98
1547;98
1548;98
1549;98
1550;98
1550;98
